Order,Family,Species,Occurrence,FishBase name,Name in Country,Size / Weight / Age,Short Description,Biology,Threat To Humans,IUCN Red List Status
Pleuronectiformes,Cynoglossidae,Paraplagusia bilineata,native,Doublelined tonguesole,Arabu,"Maturity: Lm ?  range ? - ? cm
Max length : 31.6 cm TL male/unsexed; (Ref. 94837); common length : 25.0 cm TL male/unsexed; (Ref. 30573)","Dorsal spines (total): 0; Dorsal soft rays (total): 99-115; Anal spines: 0; Anal soft rays: 72 - 89; Vertebrae: 50. Upper side tan, marbled with dark wavy lines enclosing pale patches; 2 lateral lines on eyed side, none on blind side (Ref. 4418). Caudal vertebrae 36-44; mid-lateral line scales 75-109 (Ref. 9224, 11691).",Found on mud and sand bottoms of the continental shelf (Ref. 30573). Enters shallow estuarine waters (Ref. 4833) and tidal rivers (Ref. 1479).,  Harmless,  Least Concern (LC) ; Date assessed: 16 November 2020
Pleuronectiformes,Cynoglossidae,Paraplagusia blochii,native,Bloch's tonguesole,Aralu,"Maturity: Lm ?  range ? - ? cm
Max length : 22.0 cm TL male/unsexed; (Ref. 11441)",Dorsal soft rays (total): 77-105; Anal soft rays: 70 - 82. Caudal vertebrae 36-39; mid-lateral line scales 73-96 (Ref. 11691).,,  Harmless,  Not Evaluated 
Pleuronectiformes,Cynoglossidae,Symphurus trifasciatus,native,Threeband tonguesole,,"Maturity: Lm ?  range ? - ? cm
Max length : 11.6 cm SL male/unsexed; (Ref. 26267)",Mature female specimens with elongate ovaries at sizes 9.26 and 9.35 cm SL were examined. Nothing is known of its life history (Ref. 26267).,,,Not Evaluated
Dactylopteriformes,Dactylopteridae,Dactyloptena gilberti,native,,,"Maturity: Lm ?  range ? - ? cm
Max length : 25.0 cm SL male/unsexed; (Ref. 559)",Dorsal spines (total): 8; Dorsal soft rays (total): 8; Anal soft rays: 6.,,  Harmless,  Least Concern (LC) ; Date assessed: 04 February 2009
Dactylopteriformes,Dactylopteridae,Dactyloptena macracantha,native,Spotwing flying gurnard,,"Maturity: Lm ?  range ? - ? cm
Max length : 30.0 cm TL male/unsexed; (Ref. 48635)",Differ in color from the more common D. orientalis by the lack of blue lines in the pectoral fins and has a centrally placed dark blotch on the fin instead. Also the body lacks black spots (Ref. 48635).,"Found in the continental shelf (Ref. 7300, 75154). Rarely observed due to mud-preferred habitats (Ref. 48635). Benthic (Ref. 75154). Not fished commercially but taken incidentally throughout its range. Usually caught near shore. Marketed fresh occasionally (Ref. 3392).",  Harmless,  Least Concern (LC) ; Date assessed: 20 June 2017
Dactylopteriformes,Dactylopteridae,Dactyloptena orientalis,native,Oriental flying gurnard,,"Maturity: Lm ?  range ? - ? cm
Max length : 40.0 cm TL male/unsexed; (Ref. 3392); common length : 20.0 cm TL male/unsexed; (Ref. 3392)",Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 0; Anal soft rays: 6 - 7. Heavily armored box-like body and wing-like pectoral fins (Ref. 37816).,"Inhabit coastal waters with sandy substrates (Ref. 1602, 48635); a shallow-living species, benthic in adults; only species found in oceanic islands (Ref. 27821). Solitary, well-camouflaged and slow-moving (Ref. 37816, 48635). Feed on crustaceans, clams, and small fish. May be caught using ring nets (Ref. 5213).",  Harmless,  Least Concern (LC) ; Date assessed: 02 March 2015
Dactylopteriformes,Dactylopteridae,Dactyloptena peterseni,native,Starry flying gurnard,,"Maturity: Lm ?  range ? - ? cm
Max length : 36.0 cm TL male/unsexed; (Ref. 56557)",Dorsal spines (total): 6; Dorsal soft rays (total): 9; Anal spines: 0; Anal soft rays: 6,"Found on the shelf and shelf edge (Ref. 11230), over sandy bottoms in coastal areas. Feeds on benthic crustaceans (Ref. 5213). Rarely used as food.",  Harmless,  Least Concern (LC) ; Date assessed: 02 March 2015
Myliobatiformes,Dasyatidae,Bathytoshia lata,native,Brown stingray,,"Maturity: Lm ?  range ? - ? cm
Max length : 260 cm WD male/unsexed; (Ref. 114953); max. published weight: 290.0 kg (Ref. 114953)","This species is huge, plain-coloured, with a disc broad and rhombic, has sharp thorns over its disc and tail in adults; it is moderately elongate, with gently tapering tail to caudal sting, a slender ventral tail fold and a minute dorsal fold; disc width ca. 1.2-1.3 times its length, very thick trunk; narrowly-rounded to angular pectoral-fin apex; short snout, broadly triangular with tip extended slightly and anterior margims weakly undulate; small eyes with orbit length and spiracle 2.1-2.5 in snout length, a broad interorbital space, up to 4.5 times orbit length in adults; broad mouth with 3-5 oral papillae, weak labial furrows, weakly convex lower jaw; very broadly skirt-shaped nasal curtain with its margin fringed; oblique oval nostrils; juveniles (< 60 cm WD) have smooth skin, sometimes with stellate thorns on mid-line of disc; snout and back with thorns more uptight and pointed, some on tail enlarged with broader bases; larger specimens have finely granular with denser cover of large thorns centrally, its tail beyond the sting is very thorny; broad tail, depressed at the base, its length twice disc width, tapering gently to sting, often with one caudal sting, its ventral fold is long, low with base about equal to predorsal length while dorsal fold is barely detectable; pelvic fins are rather small with angular apices. Colour of upper surface plain greyish brown or black; no distinct row of white pores on disc, but usually with irregular white flecks where skin is damaged; tail is dark dorsally before its sting, usually white ventrally; all surfaces are black beyond sting; ventral surface entirely white, black ventral fold (Ref. 114953).","Demersal or benthic on insular and continental shelves (Ref.58048, 58302); on on upper slopes to 800 m (Ref. 114953). Found on sand or mud bottoms, sometimes near coral reefs (Ref. 12951). Feeds on crabs, prawns and small bony fishes (Ref. 114953). Ovoviviparous (Ref. 50449). Males mature at ca. 100 cm WD, and females ca. 110 cm WD; pups born at ca. 35 cm WD; but these data measurements needs confirmation (Ref. 114953). Caught often by demersal tangle net and longline fisheries operating in shelf waters.Utilized for its meat, cartilage and thorny tail (58048).",  Traumatogenic (Ref. 6871),  Vulnerable (VU) (A2d); Date assessed: 04 August 2020
Myliobatiformes,Dasyatidae,Brevitrygon imbricata,native,Bengal whipray,Mookan thirandi,"Maturity: Lm 19.0  range ? - ? cm
Max length : 25.5 cm WD male/unsexed; (Ref. 121648); 31.0 cm WD (female); max. published weight: 590.00 g (Ref. 121648); max. published weight: 590.00 g",Disc width equal to disc length; tail shorter than body; ventral surface of disc entirely white (Ref. 12693).,"Found in inshore coastal waters (Ref. 30573). Typically found in estuarine habitats, but also reported from the Great Lake. The single record from the Great Lake may in fact refer to Dasyatis laosensis. Young and adults feed on benthic invertebrates (Ref. 12693). Ovoviviparous (Ref. 124). Feeds on bottom-living invertebrates (Ref. 68964). May grow to a maximum of 140 cm disc length in the sea (Ref. 43081). Juveniles may be present in mangroves (Ref. 43081).",  Venomous (Ref. 43081),  Vulnerable (VU) (A2d); Date assessed: 30 April 2020
Myliobatiformes,Dasyatidae,Brevitrygon walga,native,Scaly whipray,Isacurrah-tenkee,"Maturity: Lm 16.7  range ? - ? cm
Max length : 45.0 cm WD male/unsexed; (Ref. 27550)","Demersal on insular and continental shelves, and occasionally found in coastal embayments (Ref.58048). Ovoviviparous (Ref. 50449). Caught in large quantities as by-catch of bottom trawl and trammel net fisheries. Utilized for its meat, but of limited value due to its very small size (Ref.58048).","Ovoviviparous (Ref. 205), with histotrophy. Gives birth to litters of 1-2 pups; no reproductive synchronicity. Born at 8-10 cm WD (Ref.58048). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Himantura alcockii,native,Pale-spot whip ray,,Maturity: Lm ?  range ? - ? cm,Occurs in coastal waters and river mouths (Ref. 45255). Ovoviviparous (Ref. 50449).,"Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Himantura fava,native,honeycomb whipray,,"Maturity: Lm ?  range ? - ? cm
Max length : 120 cm WD male/unsexed; (Ref. 58048)","This species is characterized by absence of skin fold on the ventral surface of the tail; quadrangular profile of disc; whip-like tail variably banded; adults' upper surface with widely spaced, honeycomb-like reticulations; juveniles with relatively large spots on disc (Ref. 58048).","Found inshore on soft substrates. Viviparous, with histotrophy. Few biological information is available, diet presumably consists of crustaceans and small fishes. Caught occasionally in demersal tangle nets; meat, skin (of high value) and cartilage are utilized (Ref. 58048).",  Harmless,  Not Evaluated 
Myliobatiformes,Dasyatidae,Himantura leoparda,native,,,"Maturity: Lm 75.0, range 70 - 80 cm
Max length : 110.5 cm WD (female); max. published weight: 55.0 kg (Ref. 124786)","Occurs mainly inshore and coastal, but on the continental shelf to depths of at least 70 m. Birth size is about 20 cm DW (Ref. 76961).",,,Not Evaluated
Myliobatiformes,Dasyatidae,Himantura marginata,native,Blackedge whipray,Blackedged stingray,"Maturity: Lm ?  range ? - ? cm
Max length : 179 cm WD male/unsexed; (Ref. 9840)",Occurs in inshore waters and estuaries. Ovoviviparous (Ref. 50449).,"Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Himantura uarnak,native,Honeycomb stingray,Belya,"Maturity: Lm 83.0, range 82 - 84 cm
Max length : 200 cm WD male/unsexed; (Ref. 3263); common length : 45.0 cm TL male/unsexed; (Ref. 5450); max. published weight: 150.0 kg (Ref. 124786)","Dorsal spines (total): 0; Dorsal soft rays (total): 0; Anal spines: 0; Anal soft rays: 0. Huge stingray with conspicuous dark spots on a light brown disc; spots well-spaced in young but crowded to form reticulated pattern in adult; white ventrally; tail marked with bands of black and white; snout sharply pointed; disc with narrowly rounded outer corners, and tail long, slender and nearly three times body length when intact, with no caudal finfolds; disc without thorns but with band of flat denticles along midback (in adults); usually 1 medium-sized sting on tail (Ref. 5578).","Common off sandy beaches and in shallow estuaries and lagoons; also found in sandy areas of coral reefs (Ref. 9710). Also offshore down to 50 m depth (Ref. 5578). May enter fresh water (Ref. 5578). Feeds on small fishes, bivalves, crabs, shrimps, worms (Ref. 3263) and jellyfishes (Ref. 37816). Ovoviviparous (Ref. 50449). Common catch of the demersal tangle net, bottom trawl, longline and beach seine fisheries (Ref.58048). Popular angling fish (Ref. 3263). Not esteemed as a food fish (Ref. 3263). Used in Chinese medicine (Ref. 12166). Tail is used as It is parasitised by the monogeneans Dendromonocotyle colorni and Dendromonocotyle ukuthena on the dorsal skin surface (Ref. 124058).",  Venomous (Ref. 27550),  Endangered (EN) (A2d); Date assessed: 27 November 2020
Myliobatiformes,Dasyatidae,Himantura undulata,native,Leopard whipray,,"Maturity: Lm 87.5, range 85 - 90 cm
Max length : 410 cm TL male/unsexed; (Ref. 9840)","Demersal on soft substrate inshore (Ref.58048). Ovoviviparous (Ref. 50449). Size at birth about 20 cm WD and 92 cm TL (Ref. 90102). Caught occasionally in the demersal tangle net, bottom trawl and longline fisheries. Utilized for its meat, skin (high value) and cartilage (Ref.58048).","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Maculabatis arabica,native,Arabic whipray,,"Maturity: Lm ?  range ? - ? cm
Max length : 45.0 cm WD male/unsexed; (Ref. 110187); 63.4 cm WD (female)","Vertebrae: 102 - 111. This species (with size at least 63 cm DW) is distinguished by this set of the characters: disc is broadly rhomboidal, its length 89-93% DW; snout is moderately elongate with small apical lobe, snout angle 113-121°; pectoral-fin apices are narrowly rounded; orbits small, protruding slightly; mouth is relatively narrow, its width 1.1-1.6 in internasal width; the distance between first gill slits 2.1-2.3 times internasal distance; distance between fifth gill slits is 1.4-1.5 times internasal distance, 28--30% of ventral head length; pelvic-fin base is narrow, 12-13% DW; a small yellow, seed-shaped suprascapular denticle followed by a slightly larger white, heart-shaped denticle; weak primary denticle band present in young but soon becoming inconspicuous; secondary denticle band is irregularly suboval, relatively narrow with well-defined lateral margins, rounded forward of orbit and not extending lateral to orbit even in large adults; adults with a broad band near tail base; dorsal disc uniformly brownish (lacking white spots); ventral disc pale with broad, weakly-defined and slightly darker margins; anterior tail light-brown on dorsal surface and usually without white lateral spots; tail banded dorsally behind caudal-sting base, bands more obscure or absent with age; pectoral-fin radials 127-135; total vertebral count, including synarcual centra 102-111, monospondylous centra 41-47, pre-sting diplospondylous centra 55-68 (Ref. 110187).","Immature male at 36.0 cm WD, while size at birth is probably slightly smaller than 17 cm WD (Ref. 110187).",  Harmless,  Critically Endangered (CR) (A2d+3d); Date assessed: 08 February 2017
Myliobatiformes,Dasyatidae,Maculabatis bineeshi,native,Short-tail whipray,,"Maturity: Lm ?  range ? - ? cm
Max length : 66.0 cm WD male/unsexed; (Ref. 110187); 25.0 cm WD (female)","Vertebrae: 108 - 114. This species (size at least 66 cm DW) is distinguished by the following set of characters: disc is weakly rhomboidal to suboval, its length 93-98% DW; snout is moderately elongate with weak apical lobe, snout angle 116-121°; pectoral-fin apices are broadly rounded; orbits small to medium-sized, barely protruding; relatively narrow mouth, its width 1.2-1.3 in internasal width; distance between first gill slits is 2.2-2.5 times internasal distance; distance between fifth gill slits is 1.4-1.6 times internasal distance, 28-30% of ventral head length; pelvic-fin base is broad, 14-15% DW; main suprascapular denticle is large, yellowish, broadly ovate, usually followed by smaller subtriangular denticle; secondary denticles developing rapidly, forming a broad band extending from interorbit to tail base by 24 cm DW; dorsal disc uniformly light brown, without white spots; pale ventrally with broad, faint and slightly darker lateral margins; tail dark brown to blackish dorsally and white ventrally forward of caudal sting; plain blackish posteriorly or with weak, irregular pale dorsal banding (in young); pectoral-fin radials 127-131; total vertebral count, 108-114, including synarcual centra, monospondylous centra 44-46, pre-sting diplospondylous centra 64-69 (Ref. 110187).","Smallest specimen, immature male at 20 cm WD is postnatal; birth size unknown, but probably ca. 15.0-17.0 cm WD (Ref. 110187).",  Harmless,  Critically Endangered (CR) (A2cd); Date assessed: 21 May 2020
Myliobatiformes,Dasyatidae,Maculabatis gerrardi,native,Sharpnose stingray,,"Maturity: Lm ?, range 64 - ? cm
Max length : 200 cm TL male/unsexed; (Ref. 9840)","Likely confined to the inner continental shelf (Ref. 9840), over sandy and mud bottoms (Ref. 30573). Recorded from coastal waters and river mouths (Ref. 45255). Feeds on bottom crustaceans including shrimp, crabs and small lobsters (Ref. 5578). Ovoviviparous (Ref. 50449). Important food fish, the skin and flesh are dried or used to produce leather for purses and bags (Ref. 9840). Caught in very large quantities in the demersal tangle net, bottom trawl and trammel net fisheries. Utilized for its meat, skin (high value) and cartilage (Ref. 58048). It is parasitised on the dorsal skin surface by the monogeneans Dendromonocotyle citrosa, D. colorni, D. ukuthena (Ref. 124058) and D. lotteri (Ref. 124051).","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205). Bears 2 young in summer (Ref. 5578). Gives birth to litters of 1-4 pups; born at 18-21 cm WD (Ref.58048).",,Not Evaluated
Myliobatiformes,Dasyatidae,Megatrygon microps,native,Smalleye stingray,Annandale's stingray,"Maturity: Lm ?  range ? - ? cm
Max length : 320 cm TL male/unsexed; (Ref. 9840)","Inhabits coastal waters and river mouths (Ref. 45255). Found on the continental shelf. Maximum disc width of about 180 cm. Ovoviviparous (Ref. 50449). Litters of a single pup; born at ca. 33 cm WD (Ref. 114953). Caught very rarely by the demersal tangle net fisheries operating in shelf waters. Utilized for its meat, cartilage and probably also its skin (Ref.58048).","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Neotrygon indica,native,,,"Maturity: Lm ?  range ? - ? cm
Max length : 31.4 cm WD male/unsexed; (Ref. 119150)",,,,Not Evaluated
Myliobatiformes,Dasyatidae,Pastinachus ater,native,Broad cowtail ray,,"Maturity: Lm ?  range ? - ? cm
Max length : 200 cm WD male/unsexed; (Ref. 114953)",,,,Not Evaluated
Myliobatiformes,Dasyatidae,Pastinachus sephen,native,Cowtail stingray,௭ல்த்தீருக்கை,"Maturity: Lm 98.0, range 96 - 100 cm
Max length : 183 cm WD male/unsexed; (Ref. 37816); common length : 65.0 cm WD male/unsexed; (Ref. 27550)","Dorsal spines (total): 0; Dorsal soft rays (total): 0. A large, plain, dark stingray with an angular snout and pectoral disc; tail long and broad-based, less than twice body length, and with no upper caudal finfold but with high lower caudal finfold- 2 to 3 times depth of tail but not reaching tail tip; no large thorns; 1 or 2 long stings on tail, further behind tail base than in most stingrays; unique hexagonal, high-crowned teeth (Ref. 5578). Dark brown or black dorsally without conspicuous markings, white ventrally (Ref. 5578). Tail black (Ref. 3263).","Found in lagoons, reef flats, and reef faces (Ref. 12951). Also in rivers far from the sea (Ref. 5578). Feeds on bony fishes, worms, shrimp, and crabs (Ref. 12951). Ovoviviparous (Ref. 50449). Adults are sometimes accompanied by remoras or members of the trevally family (Ref. 6871). Size at birth about 18 cm WD or larger (Ref. 6871). Flesh utilized as food and skin used for polishing wood (Ref. 4832). Possibly caught by sports anglers (Ref. 5578). Recently there is a targeted fishery on this species for its skin, which is used as 'shagreen' in fashion accessories, from wallets to fancy pens; as a result, the species is in danger of disappearance (IHT 26.11.2005, p.5). Maximum length about 300 cm TL (Ref. 30573).",  Venomous,  Near Threatened (NT) (A2d+3d); Date assessed: 07 February 2017
Myliobatiformes,Dasyatidae,Pateobatis bleekeri,native,Bleeker's whipray,Boor,"Maturity: Lm ?  range ? - ? cm
Max length : 84.0 cm WD male/unsexed; (Ref. 121648); 112.0 cm WD (female); max. published weight: 21.1 kg (Ref. 121648); max. published weight: 21.1 kg",Enters estuaries (Ref. 4832). Found mainly on muddy bottoms to at least 40 m depth. Most likely to feed on small crustaceans (Ref. 114953). Ovoviviparous (Ref. 50449). Feeds on bottom-living invertebrates (Ref. 68964).,"Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Pateobatis fai,native,Pink whipray,,"Maturity: Lm 115.4, range 120 - ? cm
Max length : 183 cm TL male/unsexed; (Ref. 40637); max. published weight: 18.5 kg (Ref. 40637)",Uniformly tan to brownish pink dorsally. Inhabits lagoon and seaward sand flats from the intertidal to at least 200 m. Occurs in large aggregations (Ref. 37816).,"Occurs in aggregations over soft bottoms of the inner continental shelf, often near coral reefs (Ref. 9840). Ovoviviparous (Ref. 50449). Size at birth at about 55 cm WD (Ref. 6871). Feeds on fishes, crustaceans and molluscs (Ref. 89972). Common catch of the demersal tangle net, bottom trawl and, to a lesser extend, longline fisheries. Utilized for its meat, skin (high value) and cartilage (Ref.58048). By-catch of prawn trawlers (Ref. 6871).",  Venomous,  Vulnerable (VU) (A2bd); Date assessed: 22 February 2015
Myliobatiformes,Dasyatidae,Pateobatis jenkinsii,native,Jenkins whipray,Senthirukkai,"Maturity: Lm 70.0  range ? - ? cm
Max length : 130 cm WD male/unsexed; (Ref. 11228); 110.8 cm WD (female)","Found inshore, on sandy substrates (Ref. 9840, 75154) to depths of 50m (Ref.58048). Inhabits shallow coastal waters (Ref. 45255). Ovoviviparous (Ref. 50449). Common catch of the demersal tangle net, bottom trawl and, occasionally, longline fisheries. Utilized for its meat, skin (very high value) and cartilage (Ref.58048). Max. Length of female given in Ref. 74367.","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialised structures (Ref. 50449). Distinct pairing with embrace (Ref. 205).",,Not Evaluated
Myliobatiformes,Dasyatidae,Pteroplatytrygon violacea,native,Pelagic stingray,,"Maturity: Lm 45.0, range 40 - 50 cm
Max length : 96.0 cm WD male/unsexed; (Ref. 48844); common length : 80.0 cm WD male/unsexed; (Ref. 9254)","A thick, dark stingray with a broadly rounded snout and an angular pectoral disc; tail less than twice body length with a long lower caudal finfold ending far in front of tail tip, but with no upper finfold; disc without thorns; usually 1 extremely long sting on tail; eyes do not protrude (Ref. 5578). Uniformly violet, purple, or dark blue-green dorsally and ventrally (Ref. 3263). No prominent markings (Ref. 3263).","Found in open, tropical and warm temperate waters usually in the first 100 m. Possibly the only totally pelagic member of the family (Ref. 6871). Feeds on coelenterates (including medusae), squid, decapod crustaceans, and fish. Ovoviviparous (Ref. 50449). Venomous spine on tail. Common catch of the pelagic tuna (and shark) longline and gillnet fisheries (drift, Ref. 75025) operating throughout the region (Ref. 58048); also by purse-seine and bottom trawls (Ref. 75025). Utilized for its meat and sometimes cartilage (Ref.58048). Total length 110 TL (80 cm WD) (Ref. 9254).",  Venomous (Ref. 9254),  Least Concern (LC) ; Date assessed: 09 November 2018
Myliobatiformes,Dasyatidae,Taeniura lymma,native,Ribbontail stingray,,"Maturity: Lm 20.3, range 21 - ? cm
Max length : 35.0 cm WD male/unsexed; (Ref. 58048)","A colorful stingray with large bright blue spots on an oval, elongated disc and with blue side-stripes along the tail; snout rounded and angular, disc with broadly rounded outer corners, and tail stout, tapering and less than twice body length when intact, with a broad lower caudal finfold reaching the tail tip; disc with no large thorns but with small, flat denticles along midback (in adults); usually 1 medium-sized sting on tail further behind base than in most stingrays (Ref. 5578). Grey-brown to yellow, olive-green or reddish brown dorsally, white ventrally (Ref. 5578).","Occurs around coral reefs (Ref. 6871, 58534). Migrates in groups into shallow sandy areas during the rising tide to feed on mollusks, worms, shrimps, and crabs; disperses on falling tide to seek shelter in caves and under ledges (Ref. 6871). Rarely found buried under the sand (Ref. 12951). Ovoviviparous (Ref. 50449). Small specimens are popular among marine aquarists (Ref. 5578). Does not do well in aquariums (Ref. 12951). Maximum length about 70 cm TL (Ref. 30573). Reports of specimens reaching 240 cm TL are probably inaccurate (Ref. 6871). Commonly caught by fisheries operating over shallow coral reefs and probably adversely affected by dynamite fishing. Utilized widely for its meat (Ref.58048).",  Venomous (Ref. 4690),  Least Concern (LC) ; Date assessed: 01 September 2020
Myliobatiformes,Dasyatidae,Taeniurops meyeni,native,Round ribbontail ray,Giluga-tirike,"Maturity: Lm 105.0, range 100 - 110 cm
Max length : 330 cm TL male/unsexed; (Ref. 30573); max. published weight: 150.0 kg (Ref. 11228)","A large stingray with a circular disc, no thorns, a black and white mottled upper surface, and a deep and prominent ventral skin fold that extends to the tail tip (Ref. 6871).","Occurs in a wide range of habitats, from shallow lagoons to outer reef slopes (Ref. 1602). Feeds on bottom fish, bivalves, crabs and shrimp (Ref. 5578). Ovoviviparous (Ref. 50449). Smallest free-swimming specimen recorded was 33 cm WD. Caught commonly by demersal tangle net fisheries, and occasionally by longline and bottom trawl fisheries. Utilized for its meat and cartilage (Ref.58048). Found singly or in aggregates and usually with jacks and cobia swimming near them (Ref. 12951). Not normally aggressive, but it has been responsible for at least one human fatality. Sought by surf and ski boat anglers in southern Africa, but usually released unharmed (Ref. 5578). Longevity record for a specimen in an aquarium is 81 days (Ref. 12951). May reach disc width in excess of 3 m (Ref. 28023).",  Venomous (Ref. 6871),  Vulnerable (VU) (A2d); Date assessed: 14 May 2015
Myliobatiformes,Dasyatidae,Telatrygon crozieri,native,Indian sharpnose ray,,"Maturity: Lm ?  range ? - ? cm
Max length : 40.0 cm WD male/unsexed; (Ref. 114953); common length : 18.0 cm WD male/unsexed; (Ref. 4832)",Occurs on continental shelf and feeds on bottom-dwelling organisms (Ref. 4832). Apparaently move inshore to breed and with litters of probably 2 pups (Ref. 114953). Taken sa small bycatch by trawls off India (Ref. 4832).,,,Not Evaluated
Myliobatiformes,Dasyatidae,Telatrygon zugei,native,Pale-edged stingray,Chumbara-kah,"Maturity: Lm 18.7, range 19 - ? cm
Max length : 29.0 cm WD male/unsexed; (Ref. 109651)","Feed on bottom-dwelling organisms (Ref.50449); primarily small crustaceans, but also small fishes (Ref.58048). Ovoviviparous (Ref. 50449).","Exhibit ovoviparity (aplacental viviparity), with embryos feeding initially on yolk, then receiving additional nourishment from the mother by indirect absorption of uterine fluid enriched with mucus, fat or protein through specialized structures (Ref. 50449). Distinct pairing with embrace (Ref. 205). Gives birth to litters of 1-4 pups; born at 7-10 cm WD. No reproductive synchronicity (Ref.58048).",,Not Evaluated
Myliobatiformes,Dasyatidae,Urogymnus asperrimus,native,Porcupine whipray,Moolan-tiriki,"Maturity: Lm ?, range 100 - ? cm
Max length : 147 cm WD male/unsexed; (Ref. 58048)","Diagnosis: A heavily armored stingray lacking a venomous barb; young with large, flat denticles on upper surface, and large juveniles and adults with additional sharp conical thorns and small, pointed denticles (Ref. 5578).","Inhabits the continental shelf area (Ref. 2334), but capable of entering coastal lagoons (Ref. 81259). Found on sand and coral rubble areas near reefs (Ref. 9840), often in caves. Ovoviviparous (Ref. 50449). Due to its difficult handling, it is probably of limited commercial value (Ref. 9840). Its thorn can inflict a painful injury; caught commonly by demersal tangle net fisheries; utilized for its meat, skin (very high value) and cartilage (Ref.58048).",  Traumatogenic (Ref. 2334),  Vulnerable (VU) (A2bd); Date assessed: 20 February 2015
Myliobatiformes,Dasyatidae,Urogymnus granulatus,native,Mangrove whipray,,"Maturity: Lm ?  range ? - ? cm
Max length : 141 cm WD male/unsexed; (Ref. 58048)",Has white spots and a white tail.,"Found in mangrove areas, also over sand or sand and rubble in lagoons near reefs to depth of 85 m on the continental shelf (Ref. 9840). Feeds on small fishes, bottom dwelling crustaceans, and large infauna (Ref. 9840). Ovoviviparous (Ref. 50449), with histotrophy. Caught regularly, but in low numbers, by demersal tangle net and bottom trawl fisheries. Utilized for its meat, skin (high value) and cartilage (Ref.58048).",  Traumatogenic,  Vulnerable (VU) (A2bd); Date assessed: 20 May 2015
Lophiiformes,Diceratiidae,Diceratias bispinosus,native,Two-rod anglerfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 11.2 cm SL male/unsexed; (Ref. 39830)","A species of Diceratias with esca having distinct anterior and posterior appendages. Distinguishing characteristics of metamorphosed female: relatively small esca, width about equal to length; low rounded terminal escal papilla; well developed anterior and posterior escal appendages, usually bearing small secondary filaments; bulbous anterior escal appendage, sometimes branched; laterally compressed posterior escal appendage, row of small secondary filaments along outer margin, at most 5; posterobasal margin of terminal papilla with escal pore; lower jaw with 14-65 teeth, upper jaw with 18-99 teeth; vomerine teeth 4-9 (Ref. 86949).",Specimens captured in closing trawls or taken in open nets (Ref. 86949).,  Harmless,  Least Concern (LC) ; Date assessed: 11 October 2018
Ophidiiformes,Dinematichthyidae,Dinematichthys iluocoeteoides,native,Yellow pigmy brotula,,"Maturity: Lm 4.8, range 5 - 5 cm
Max length : 12.0 cm SL male/unsexed; (Ref. 1602)",Dorsal spines (total): 0; Dorsal soft rays (total): 75-88; Anal spines: 0; Anal soft rays: 59 - 69; Vertebrae: 41 - 45.,"Rare species (Ref. 34024) notable for its strict association with true reef environments and particularly so with outer reefs and reef cores (Ref. 81230). An indweller of deep interstices of lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602). Ovoviviparous (Ref. 240). Solitary inhabitant of shallow water, cryptic (Ref 90102).",  Harmless,  Least Concern (LC) ; Date assessed: 15 August 2019
